,0,1,2,3,4,5
0,Timestamp,Offset,Ch1 reading,Ch2 reading,AFG frequency,AFG amplitude
254,3713351542.51,1.2,1.162,2.501,DC,DC
255,3713351545.03,1.2,1.162,2.501,DC,DC
256,3713351547.54,1.2,1.162,2.501,DC,DC
257,3713351550.06,1.2,1.162,2.501,DC,DC
258,3713351552.59,1.2,1.162,2.501,DC,DC
259,3713351555.12,1.2,1.162,2.501,DC,DC
260,3713351557.64,1.2,1.163,2.501,DC,DC
261,3713351560.14,1.2,1.163,2.501,DC,DC
262,3713351562.66,1.2,1.163,2.501,DC,DC
263,3713351565.19,1.2,1.163,2.501,DC,DC
264,3713351567.69,1.2,1.163,2.501,DC,DC
265,3713351570.19,1.2,1.163,2.501,DC,DC
266,3713351572.7,1.2,1.162,2.501,DC,DC
267,3713351575.23,1.2,1.163,2.501,DC,DC
268,3713351577.76,1.2,1.163,2.501,DC,DC
269,3713351580.27,1.2,1.163,2.501,DC,DC
270,3713351582.78,1.2,1.163,2.501,DC,DC
271,3713351585.31,1.2,1.163,2.501,DC,DC
272,3713351587.83,1.2,1.163,2.501,DC,DC
273,3713351590.34,1.2,1.163,2.501,DC,DC
274,3713351592.84,1.2,1.163,2.501,DC,DC
275,3713351595.37,1.2,1.163,2.501,DC,DC
276,3713351597.9,1.2,1.163,2.501,DC,DC
277,3713351600.43,1.2,1.163,2.501,DC,DC
278,3713351602.95,1.2,1.163,2.501,DC,DC
279,3713351605.47,1.2,1.163,2.501,DC,DC
280,3713351608.0,1.2,1.162,2.501,DC,DC
281,3713351610.52,1.2,1.163,2.501,DC,DC
282,3713351613.03,1.2,1.163,2.501,DC,DC
283,3713351615.56,1.2,1.163,2.501,DC,DC
284,3713351618.08,1.2,1.162,2.501,DC,DC
285,3713351620.6,1.2,1.162,2.501,DC,DC
286,3713351623.11,1.2,1.162,2.501,DC,DC
287,3713351625.63,1.2,1.162,2.501,DC,DC
288,3713351628.15,1.2,1.162,2.501,DC,DC
289,3713351630.68,1.2,1.162,2.501,DC,DC
290,3713351633.21,1.2,1.162,2.501,DC,DC
291,3713351635.72,1.2,1.162,2.501,DC,DC
292,3713351638.23,1.2,1.162,2.501,DC,DC
293,3713351640.75,1.2,1.162,2.501,DC,DC
294,3713351643.27,1.2,1.162,2.501,DC,DC
295,3713351645.78,1.2,1.162,2.501,DC,DC
296,3713351648.29,1.2,1.162,2.501,DC,DC
297,3713351650.8,1.2,1.162,2.501,DC,DC
298,3713351653.31,1.2,1.162,2.501,DC,DC
299,3713351655.83,1.2,1.162,2.501,DC,DC
300,3713351658.35,1.2,1.162,2.501,DC,DC
301,3713351660.86,1.2,1.162,2.501,DC,DC
302,3713351663.37,1.2,1.162,2.501,DC,DC
303,3713351665.9,1.2,1.162,2.501,DC,DC
304,3713351668.41,1.2,1.162,2.501,DC,DC
305,3713351670.94,1.2,1.162,2.501,DC,DC
306,3713351673.46,1.2,1.162,2.501,DC,DC
307,3713351675.97,1.2,1.162,2.501,DC,DC
308,3713351678.49,1.2,1.162,2.501,DC,DC
309,3713351681.01,1.2,1.162,2.501,DC,DC
310,3713351683.54,1.2,1.161,2.501,DC,DC
311,3713351686.05,1.2,1.162,2.501,DC,DC
312,3713351688.58,1.2,1.162,2.501,DC,DC
313,3713351691.09,1.2,1.162,2.501,DC,DC
314,3713351693.6,1.2,1.162,2.501,DC,DC
315,3713351696.13,1.2,1.161,2.501,DC,DC
316,3713351698.63,1.2,1.161,2.501,DC,DC
317,3713351701.16,1.2,1.162,2.501,DC,DC
318,3713351703.67,1.2,1.162,2.501,DC,DC
319,3713351706.2,1.2,1.162,2.501,DC,DC
320,3713351708.7,1.2,1.162,2.501,DC,DC
321,3713351711.22,1.2,1.162,2.501,DC,DC
322,3713351713.73,1.2,1.162,2.501,DC,DC
323,3713351716.27,1.2,1.162,2.501,DC,DC
324,3713351718.77,1.2,1.161,2.501,DC,DC
325,3713351721.28,1.2,1.161,2.501,DC,DC
326,3713351723.8,1.2,1.162,2.501,DC,DC
327,3713351726.31,1.2,1.161,2.5,DC,DC
328,3713351728.83,1.2,1.162,2.501,DC,DC
329,3713351731.34,1.2,1.162,2.501,DC,DC
330,3713351733.86,1.2,1.162,2.501,DC,DC
331,3713351736.38,1.2,1.162,2.501,DC,DC
332,3713351738.89,1.2,1.162,2.501,DC,DC
333,3713351741.41,1.2,1.162,2.501,DC,DC
334,3713351743.93,1.2,1.162,2.501,DC,DC
335,3713351746.45,1.2,1.162,2.501,DC,DC
336,3713351748.97,1.2,1.162,2.501,DC,DC
337,3713351751.49,1.2,1.162,2.501,DC,DC
338,3713351754.01,1.2,1.162,2.501,DC,DC
339,3713351756.53,1.2,1.162,2.501,DC,DC
340,3713351759.03,1.2,1.162,2.501,DC,DC
341,3713351761.56,1.2,1.162,2.501,DC,DC
342,3713351764.08,1.2,1.162,2.501,DC,DC
343,3713351766.6,1.2,1.162,2.501,DC,DC
344,3713351769.12,1.2,1.162,2.501,DC,DC
345,3713351771.63,1.2,1.162,2.501,DC,DC
346,3713351774.15,1.2,1.162,2.501,DC,DC
347,3713351776.67,1.2,1.162,2.501,DC,DC
348,3713351779.19,1.2,1.162,2.501,DC,DC
349,3713351781.7,1.2,1.162,2.501,DC,DC
350,3713351784.21,1.2,1.162,2.501,DC,DC
351,3713351786.74,1.2,1.162,2.501,DC,DC
352,3713351789.25,1.2,1.162,2.501,DC,DC
353,3713351791.76,1.2,1.162,2.501,DC,DC
354,3713351794.28,1.2,1.162,2.501,DC,DC
355,3713351796.78,1.2,1.162,2.501,DC,DC
356,3713351799.3,1.2,1.162,2.501,DC,DC
357,3713351801.82,1.2,1.162,2.501,DC,DC
358,3713351804.33,1.2,1.162,2.501,DC,DC
359,3713351806.84,1.2,1.162,2.501,DC,DC
360,3713351809.34,1.2,1.162,2.501,DC,DC
361,3713351811.86,1.2,1.162,2.501,DC,DC
362,3713351814.37,1.2,1.162,2.501,DC,DC
363,3713351816.88,1.2,1.162,2.501,DC,DC
364,3713351819.4,1.2,1.162,2.501,DC,DC
365,3713351821.92,1.2,1.162,2.501,DC,DC
366,3713351824.43,1.2,1.162,2.501,DC,DC
367,3713351826.94,1.2,1.162,2.501,DC,DC
368,3713351829.46,1.2,1.162,2.501,DC,DC
369,3713351831.99,1.2,1.162,2.501,DC,DC
370,3713351834.51,1.2,1.162,2.501,DC,DC
371,3713351837.04,1.2,1.162,2.501,DC,DC
372,3713351839.56,1.2,1.162,2.501,DC,DC
373,3713351842.07,1.2,1.162,2.501,DC,DC
374,3713351844.59,1.2,1.162,2.501,DC,DC
375,3713351847.12,1.2,1.162,2.501,DC,DC
376,3713351849.63,1.2,1.163,2.501,DC,DC
377,3713351852.16,1.2,1.162,2.501,DC,DC
378,3713351854.66,1.2,1.163,2.501,DC,DC
379,3713351857.18,1.2,1.163,2.501,DC,DC
380,3713351859.68,1.2,1.162,2.501,DC,DC
381,3713351862.2,1.2,1.162,2.501,DC,DC
382,3713351864.71,1.2,1.162,2.501,DC,DC
383,3713351867.23,1.2,1.162,2.501,DC,DC
384,3713351869.74,1.2,1.162,2.501,DC,DC
385,3713351872.25,1.2,1.162,2.501,DC,DC
386,3713351874.77,1.2,1.162,2.501,DC,DC
387,3713351877.28,1.2,1.162,2.501,DC,DC
388,3713351879.79,1.2,1.162,2.501,DC,DC
389,3713351882.31,1.2,1.162,2.501,DC,DC
390,3713351884.81,1.2,1.162,2.501,DC,DC
391,3713351887.32,1.2,1.162,2.501,DC,DC
392,3713351889.85,1.2,1.162,2.501,DC,DC
393,3713351892.37,1.2,1.162,2.501,DC,DC
394,3713351894.89,1.2,1.162,2.501,DC,DC
395,3713351897.41,1.2,1.162,2.501,DC,DC
396,3713351899.92,1.2,1.162,2.501,DC,DC
397,3713351902.44,1.2,1.162,2.501,DC,DC
398,3713351904.95,1.2,1.162,2.501,DC,DC
399,3713351907.48,1.2,1.162,2.501,DC,DC
400,3713351909.99,1.2,1.162,2.501,DC,DC
401,3713351912.5,1.2,1.162,2.501,DC,DC
402,3713351915.01,1.2,1.162,2.501,DC,DC
403,3713351917.54,1.2,1.162,2.501,DC,DC
404,3713351920.06,1.2,1.162,2.501,DC,DC
405,3713351922.57,1.2,1.162,2.501,DC,DC
406,3713351925.09,1.2,1.162,2.501,DC,DC
407,3713351927.6,1.2,1.162,2.501,DC,DC
408,3713351930.13,1.2,1.162,2.501,DC,DC
